admin_support,age,boss_survey,boss_tenure,city_size,clock_in,core,education,gender,half_day_leaves,high_potential,job_satisfaction,kpi_performance,local,part_time,rank,remote,salary,subordinates,team_size,tenure,tenure_unit,training,variable_pay,years_since_promotion,exit
0,41,0.45642692,3,4.3000002,0,0,3,0,5,1,0.73070115,0.59987283,1,0,1,1,31.823364,0,8,1,1,3,2,3,0
2,41,0.51298159,3,9.3999996,1,1,1,1,5,0,0.33402753,0.8262369,1,0,3,1,37.876808,1,5,1,1,2,8,4,0
0,33,0.41511863,3,4.3000002,1,0,1,0,2,0,0.64741099,0.75829971,1,1,1,1,35.271042,0,8,1,1,2,2,3,0
0,35,0.46773082,4,2.2,1,1,1,0,3,0,0.54502714,0.78088331,1,0,1,0,33.899048,0,8,1,1,3,2,3,0
0,28,0.68536609,3,2.2,0,1,1,0,3,1,0.68571758,0.68633634,1,1,1,0,33.165573,0,6,1,1,2,3,4,0
0,39,0.38663557,4,9.3999996,0,0,1,1,6,0,0.32468319,0.6685124,1,0,1,0,40.326279,0,8,2,2,3,2,4,0
0,38,0.46332991,3,6.0999999,1,1,2,1,5,0,0.49898925,0.62409484,1,1,1,1,31.654663,0,7,1,1,2,4,4,0
1,41,0.68014127,3,9.3999996,0,1,1,1,5,0,1.0010707,0.70069796,1,0,3,1,42.069214,1,6,1,1,4,15,2,0
2,47,0.55956823,3,4.3000002,0,0,1,1,4,0,0.77910298,0.78446227,1,0,4,1,48.082947,1,6,2,2,3,14,3,0
0,34,0.54321367,4,0.89999998,1,1,1,0,6,0,0.50774932,0.5230211,1,1,1,0,30.538757,0,8,1,1,2,3,5,0
2,43,0.48883116,4,2.2,0,0,2,1,4,0,0.65995944,0.75289452,1,0,4,1,66.925674,6,7,2,2,2,17,3,0
0,38,0.50904036,3,2.2,0,1,1,0,5,0,0.27422991,0.7869857,1,1,1,1,32.151291,0,8,1,1,2,2,4,1
0,29,0.32134292,3,4.3000002,0,0,3,0,4,0,0.31051323,0.74418586,1,0,1,0,33.079498,0,5,2,2,2,4,5,0
0,37,0.29626322,5,2.2,1,1,2,1,5,0,0.18062282,0.69876486,1,0,1,0,34.608658,0,11,1,1,3,4,3,1
0,38,0.56906009,3,2.2,1,1,2,1,3,1,0.6246196,0.82122159,1,0,1,1,39.570465,0,6,1,1,2,3,3,0
1,41,0.19584541,3,6.0999999,0,0,1,1,5,0,0.67504632,0.46739295,1,0,3,0,31.522034,2,9,1,1,3,8,3,0
1,39,0.89492947,3,0.89999998,0,1,1,1,4,0,0.86785877,0.75597471,1,0,2,0,41.810371,5,4,4,4,2,6,4,0
0,36,0.60621595,4,2.2,1,1,1,1,4,0,0.63476723,0.71152771,1,0,1,,41.758751,0,9,1,1,2,0,3,0
1,43,0.40656567,4,9.3999996,0,1,1,1,5,0,0.52795386,0.664729,1,0,2,0,51.780571,3,7,1,1,3,16,4,0
0,38,0.53989589,3,4.3000002,0,1,3,1,6,0,0.58604038,0.6418103,1,0,1,0,39.740669,0,9,2,2,3,2,3,0
0,26,0.86311907,3,9.3999996,0,1,2,1,4,0,0.74190015,0.75678557,1,0,1,1,61.256981,0,5,1,1,3,4,3,0
2,47,0.8131659,3,2.2,0,1,1,1,3,0,1.1890806,0.54350322,1,0,4,0,44.840958,7,5,1,1,4,11,3,0
0,32,0.62717378,6,6.0999999,1,1,1,1,6,0,0.63610125,0.63049585,1,0,1,1,38.530243,0,8,2,1,3,2,2,0
0,40,0.34968162,3,4.3000002,0,1,1,0,6,0,0.62019259,0.62054062,1,0,1,0,31.370438,0,7,1,1,2,1,4,1
