From.Grade,To.Grade,Is.Non.Annual.,Days,Departure.Date,Deposit.Date,Tuition,FRP.Active,FRP.Cancelled,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,NumberOfMeetingswithParents,SingleGradeTripFlag,Retained.in.2012.,Ability_to_Pay,Travel.Type_B,Travel.Type_N,Travel.Type_T,School.Type_Catholic,School.Type_PUBLIC,School.Type_Private non-Christian,SPR.New.Existing_NEW,SchoolSizeIndicator_M-L,SchoolSizeIndicator_S,SchoolSizeIndicator_S-M,SchoolSizeIndicator_missing,Region_New_Mountain,Region_New_North East,Region_New_Northen California,Region_New_Pacific,Region_New_South Atlantic,Region_New_South Central,Region_New_Southern California,Region_New_Texas,Region_New_West North Central,DepartureSeason_Winter
4.0,4.0,0.0,1.0,40557.0,40420.0,424.0,25.0,3.0,3.0,4.0,40263.0,1.0,0.0,5.0,0.17,1.0,59.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8.0,8.0,0.0,7.0,40557.0,40132.0,2350.0,9.0,9.0,11.0,3.0,40088.0,1.0,7.0,8.0,0.091,0.0,22.0,2.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,3.0,40558.0,40466.0,1181.0,17.0,6.0,6.0,3.0,40206.0,1.0,6.0,8.0,0.042,0.0,24.0,1.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.0,8.0,0.0,6.0,40559.0,40451.0,865.0,40.0,8.0,9.0,8.0,40260.0,1.0,6.0,8.0,0.38299999999999995,0.0,81.0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10.0,12.0,0.0,4.0,40560.0,40451.0,2025.0,9.0,4.0,3.0,1.0,40253.0,1.0,10.0,12.0,0.1,0.0,10.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11.0,12.0,1.0,6.0,40561.0,40466.0,1977.0,16.0,4.0,5.0,2.0,40234.0,1.0,9.0,12.0,0.08,0.0,25.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8.0,8.0,0.0,8.0,40572.0,40330.0,2200.0,30.0,0.0,0.0,4.0,40220.0,1.0,6.0,12.0,0.231,0.0,52.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,4.0,40581.0,40476.0,1428.0,51.0,1.0,1.0,6.0,40268.0,1.0,-1.0,8.0,0.136,0.0,66.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,4.0,40581.0,40451.0,999.0,47.0,1.0,1.0,4.0,40268.0,1.0,0.0,12.0,0.096,1.0,83.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,4.0,40581.0,40466.0,1388.0,32.0,0.0,0.0,5.0,40220.0,1.0,-1.0,8.0,0.3,1.0,40.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,6.0,40586.0,40466.0,2278.0,10.0,6.0,6.0,1.0,40233.0,1.0,6.0,8.0,0.136,0.0,22.0,1.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,6.0,40586.0,40460.0,2339.0,20.0,1.0,2.0,4.0,40236.0,1.0,6.0,8.0,0.125,0.0,32.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40589.0,40466.0,1830.0,22.0,1.0,4.0,3.0,40282.0,1.0,6.0,8.0,0.16699999999999998,0.0,30.0,2.0,1.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,5.0,40589.0,40445.0,1805.0,16.0,4.0,5.0,2.0,40282.0,1.0,6.0,8.0,0.345,0.0,29.0,2.0,1.0,1.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,5.0,40589.0,40466.0,1880.0,5.0,1.0,1.0,1.0,40282.0,1.0,6.0,8.0,0.444,0.0,9.0,2.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
8.0,8.0,0.0,3.0,40590.0,40466.0,1393.0,25.0,2.0,3.0,3.0,40214.0,1.0,6.0,8.0,0.395,0.0,38.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8.0,8.0,0.0,4.0,40590.0,40452.0,1271.0,33.0,9.0,9.0,5.0,40267.0,1.0,5.0,7.0,0.311,0.0,45.0,2.0,1.0,1.0,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,5.0,40590.0,40466.0,812.0,34.0,5.0,8.0,5.0,40219.0,1.0,6.0,8.0,0.213,0.0,75.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11.0,12.0,1.0,7.0,40590.0,40480.0,2785.0,13.0,2.0,2.0,2.0,40124.0,1.0,9.0,12.0,0.28600000000000003,0.0,21.0,2.0,0.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8.0,8.0,0.0,3.0,40591.0,40483.0,718.0,19.0,4.0,6.0,5.0,40239.0,1.0,6.0,8.0,0.105,0.0,38.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7.0,7.0,0.0,4.0,40591.0,40483.0,1362.0,15.0,0.0,1.0,2.0,40241.0,1.0,7.0,8.0,0.2,0.0,20.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
8.0,8.0,0.0,4.0,40591.0,40456.0,1629.0,53.0,4.0,4.0,5.0,40236.0,1.0,-1.0,12.0,0.127,0.0,71.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
8.0,8.0,0.0,4.0,40591.0,40466.0,1899.0,9.0,1.0,0.0,1.0,40200.0,1.0,-1.0,12.0,0.182,0.0,11.0,1.0,1.0,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8.0,8.0,0.0,5.0,40592.0,40480.0,662.0,50.0,3.0,5.0,12.0,40227.0,1.0,6.0,8.0,0.011000000000000001,0.0,185.0,1.0,1.0,1.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,5.0,40592.0,40452.0,726.0,27.0,1.0,3.0,4.0,40249.0,1.0,6.0,8.0,0.196,0.0,46.0,2.0,1.0,1.0,3.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,0.0,3.0,40593.0,40452.0,1115.0,78.0,5.0,7.0,10.0,40205.0,0.0,6.0,8.0,0.337,0.0,98.0,0.0,1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8.0,8.0,1.0,3.0,40593.0,40466.0,1186.0,10.0,0.0,0.0,1.0,40220.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7.0,8.0,0.0,3.0,40593.0,40474.0,999.0,12.0,0.0,0.0,2.0,40225.0,1.0,7.0,8.0,0.28600000000000003,0.0,14.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
