Category,Item,Vitamin C,Total Fat,Cholesterol
Breakfast,Egg McMuffin,0,20,87
Breakfast,Egg White Delight,0,12,8
Breakfast,Sausage McMuffin,0,35,15
Breakfast,Sausage McMuffin with Egg,0,43,95
Breakfast,Sausage McMuffin with Egg Whites,0,35,16
Breakfast,Steak & Egg McMuffin,2,36,100
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",8,40,83
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",8,47,83
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",8,32,11
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",8,38,11
Breakfast,Sausage Biscuit (Regular Biscuit),0,42,10
Breakfast,Sausage Biscuit (Large Biscuit),0,48,10
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),0,50,83
Breakfast,Sausage Biscuit with Egg (Large Biscuit),0,57,83
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),0,42,11
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),0,49,11
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),2,31,10
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),2,37,10
Breakfast,Steak & Egg Biscuit (Regular Biscuit),2,49,93
Breakfast,"Bacon, Egg & Cheese McGriddles",10,32,84
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",10,24,11
Breakfast,Sausage McGriddles,0,34,11
Breakfast,"Sausage, Egg & Cheese McGriddles",0,48,89
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",0,40,17
Breakfast,"Bacon, Egg & Cheese Bagel",15,48,92
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",15,39,20
Breakfast,"Steak, Egg & Cheese Bagel",4,53,99
Breakfast,Big Breakfast (Regular Biscuit),2,73,185
Breakfast,Big Breakfast (Large Biscuit),2,80,185
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),2,57,12
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),2,63,12
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),2,87,192
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),2,93,192
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),2,70,19
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),2,77,19
Breakfast,Hotcakes,0,13,7
Breakfast,Hotcakes and Sausage,0,37,17
Breakfast,Sausage Burrito,2,25,38
Breakfast,Hash Brown,2,14,0
Breakfast,Cinnamon Melts,0,30,5
Breakfast,Fruit & Maple Oatmeal,130,6,2
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,130,6,2
Beef & Pork,Big Mac,2,42,28
Beef & Pork,Quarter Pounder with Cheese,2,41,31
Beef & Pork,Quarter Pounder with Bacon & Cheese,15,45,34
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,20,48,35
Beef & Pork,Quarter Pounder Deluxe,8,42,28
Beef & Pork,Double Quarter Pounder with Cheese,2,66,53
