Pclass,Age,Fare,Family_Presence,Sex_male,Embarked_Q,Embarked_S,Survived
3,1,11.1333,1,0,0,1,1
2,41,19.5,1,0,0,1,1
3,17,8.6625,0,1,0,1,0
2,42,26,1,0,0,1,1
3,30.37834711,23.25,1,0,1,0,1
2,35,10.5,0,1,0,1,0
1,64,263,1,1,0,1,0
3,38,31.3875,1,0,0,1,1
1,61,32.3208,0,1,0,1,0
3,17,8.6625,0,1,0,1,0
3,11,31.275,1,0,0,1,0
3,34,6.4958,0,1,0,1,0
1,52,30.5,0,1,0,1,1
1,21,77.2875,1,1,0,1,0
3,30.37834711,16.1,1,0,0,1,1
3,16,20.25,1,1,0,1,0
2,50,10.5,0,0,0,1,1
3,30.37834711,7.75,0,0,1,0,1
2,25,41.5792,1,1,0,0,0
1,61,33.5,0,1,0,1,0
3,2,27.9,1,0,0,1,0
1,38,71.2833,1,0,0,0,1
2,34,13,0,1,0,1,0
3,17,8.6625,0,1,0,1,0
3,18,18,1,0,0,1,0
2,24,13,0,0,0,1,1
1,50,133.65,1,1,0,1,1
1,32,30.5,0,1,0,0,1
1,36,71,1,0,0,1,1
3,8,21.075,1,0,0,1,0
3,31,18,1,0,0,1,0
1,26,78.85,0,0,0,1,1
3,26,20.575,1,1,0,1,0
2,30.37834711,0,0,1,0,1,0
1,50,55.9,1,1,0,1,0
3,33,8.6542,0,1,0,1,0
3,30,16.1,1,1,0,1,0
3,21,7.8542,0,1,0,1,0
3,30.37834711,7.2292,0,1,0,0,0
3,30.37834711,7.55,0,0,0,1,0
3,22,9,0,1,0,1,0
3,30.37834711,7.225,0,1,0,0,0
3,30.37834711,7.75,0,1,1,0,0
3,9,31.275,1,0,0,1,0
3,34,8.05,0,1,0,1,0
3,20,7.8542,0,1,0,1,0
1,71,49.5042,0,1,0,0,0
3,21,7.925,0,1,0,1,0
3,30.37834711,8.05,0,0,0,1,0
3,19,7.8958,0,1,0,1,0
3,21,8.05,0,1,0,1,0
3,30.5,7.75,0,0,1,0,0
2,32,13,0,0,0,1,1
1,2,151.55,1,0,0,1,0
1,47,25.5875,0,1,0,1,0
3,30.37834711,7.2292,0,0,0,0,1
3,22,10.5167,0,0,0,1,0
3,19,0,0,1,0,1,0
1,19,30,0,0,0,1,1
1,65,26.55,0,1,0,1,0
3,18,7.775,0,0,0,1,0
3,25,7.25,0,1,0,1,0
3,18,6.75,0,0,1,0,0
3,25,7.775,0,0,0,1,0
3,20,7.925,1,1,0,1,1
2,24,18.75,1,0,0,1,1
3,5,12.475,0,0,0,1,1
3,30.37834711,7.775,0,1,0,1,0
1,54,77.2875,1,1,0,1,0
3,1,15.7417,1,0,0,0,1
1,14,120,1,0,0,1,1
3,33,15.85,1,0,0,1,1
1,40,27.7208,0,1,0,0,0
3,45.5,7.225,0,1,0,0,0
3,33,7.8958,0,1,0,1,0
1,16,39.4,1,0,0,1,1
2,30,21,1,0,0,1,1
3,30.37834711,7.75,0,0,1,0,1
1,30,31,0,0,0,0,1
1,30.37834711,133.65,1,0,0,1,1
3,30.37834711,7.2292,0,1,0,0,0
3,16,18,1,1,0,1,0
3,30.37834711,8.05,0,1,0,1,0
3,21,8.05,0,1,0,1,0
3,21,7.65,0,0,0,1,1
2,40,13,0,0,0,1,1
3,30.37834711,24.15,1,0,1,0,1
1,51,26.55,0,1,0,1,1
3,24,16.7,1,0,0,1,1
1,35,53.1,1,0,0,1,1
2,34,13,0,1,0,1,0
2,31,26.25,1,0,0,1,1
2,29,10.5,0,0,0,1,1
3,16,46.9,1,0,0,1,0
3,65,7.75,0,1,1,0,0
1,58,113.275,1,1,0,0,0
3,30.37834711,7.25,0,1,0,1,0
3,19,7.775,0,1,0,1,0
3,30.37834711,7.05,0,1,0,1,0
1,41,134.5,0,0,0,0,1
3,11,46.9,1,1,0,1,0
3,28,22.525,0,1,0,1,0
3,32,8.05,0,1,0,1,1
3,3,15.9,1,1,0,1,1
1,36,135.6333,0,0,0,0,1
1,45,164.8667,1,0,0,1,1
3,1,46.9,1,1,0,1,0
3,30.37834711,7.55,0,1,0,1,0
3,30.37834711,14.5,0,1,0,1,0
1,30.37834711,26,0,1,0,1,0
3,23,9.225,0,1,0,1,0
3,32,7.925,0,1,0,1,1
2,34,13,0,0,0,1,1
2,43,26.25,1,1,0,1,0
3,51,7.0542,0,1,0,1,0
3,26,7.8875,0,1,0,1,0
3,30.37834711,7.8958,0,1,0,1,0
3,14.5,14.4542,1,0,0,0,0
2,19,13,0,1,0,1,0
1,28,82.1708,1,1,0,0,0
2,21,10.5,0,0,0,1,1
1,22,135.6333,0,1,0,0,0
3,42,8.6625,0,1,0,1,0
1,31,113.275,1,0,0,0,1
2,36,13,0,0,0,1,1
1,48,52,1,1,0,1,1
1,62,80,0,0,0,1,1
3,25,7.65,0,1,0,1,0
1,39,0,0,1,0,1,0
2,23,13,0,1,0,1,0
1,50,28.7125,0,0,0,0,0
3,14,7.8542,0,0,0,1,0
2,50,13,0,1,0,1,0
3,59,7.25,0,1,0,1,0
3,30.37834711,6.95,0,1,1,0,0
3,30.37834711,7.75,0,1,1,0,0
1,36,512.3292,1,1,0,0,1
1,48,39.6,1,0,0,0,1
3,44,7.925,0,1,0,1,1
3,4,31.275,1,1,0,1,0
2,14,30.0708,1,0,0,0,1
3,30.37834711,14.4583,1,0,0,0,0
3,23,7.925,0,0,0,1,0
